Date,Open,High,Low,Close,Volume
03/28/2025,"519.76","520.46","510.16","510.80","5,831,793"
03/27/2025,"521.29","524.68","519.23","521.21","5,534,928"
03/26/2025,"530.56","531.41","523.10","524.46","4,429,626"
03/25/2025,"530.59","531.60","529.11","530.65","6,260,199"
03/24/2025,"526.48","530.39","525.88","529.39","22,376,270"
03/21/2025,"515.79","520.95","514.66","520.26","5,059,011"
03/20/2025,"517.96","524.62","517.32","520.13","6,029,737"
03/19/2025,"517.54","524.96","516.42","521.33","5,373,949"
03/18/2025,"519.32","519.52","514.07","515.91","6,010,598"
03/17/2025,"517.45","523.84","517.08","521.41","6,269,843"
03/14/2025,"511.28","518.42","510.84","517.46","7,412,261"
03/13/2025,"513.51","514.06","505.42","507.05","21,650,000"
03/12/2025,"516.89","517.74","509.10","513.76","8,590,555"
03/11/2025,"514.33","517.53","507.53","511.28","11,208,910"
03/10/2025,"521.90","523.70","510.83","515.51","11,176,890"
03/07/2025,"524.90","530.88","520.13","529.51","7,308,280"
03/06/2025,"529.19","533.43","524.22","526.67","7,228,926"
03/05/2025,"530.25","537.79","526.93","536.40","6,221,745"
03/04/2025,"533.06","538.28","526.16","530.45","10,477,440"
03/03/2025,"548.20","549.29","533.25","536.92","7,289,998"
02/28/2025,"538.42","546.89","535.58","546.33","7,328,051"
02/27/2025,"548.83","549.88","537.60","537.97","5,521,351"
02/26/2025,"548.01","551.35","544.25","546.75","4,180,803"
02/25/2025,"549.18","549.77","542.17","546.41","5,491,494"
02/24/2025,"553.61","554.51","548.51","549.14","4,772,255"
02/21/2025,"561.10","561.20","551.27","551.75","6,148,694"
02/20/2025,"562.39","562.48","558.22","561.30","4,446,782"
02/19/2025,"561.02","563.92","560.53","563.67","3,857,561"
02/18/2025,"561.80","562.31","559.49","562.31","3,844,905"
02/14/2025,"560.90","561.86","560.07","560.69","3,380,570"
02/13/2025,"555.87","560.88","554.70","560.67","3,388,498"
02/12/2025,"551.00","555.92","550.39","554.81","3,579,483"
02/11/2025,"554.10","557.12","553.99","556.65","2,752,923"
02/10/2025,"555.44","556.78","554.24","556.15","3,517,552"
02/07/2025,"558.10","559.20","551.80","552.20","10,161,550"
02/06/2025,"557.29","557.65","554.19","557.62","3,606,299"
02/05/2025,"552.34","555.73","550.41","555.62","3,424,184"
02/04/2025,"549.70","553.83","549.23","553.35","4,181,413"
02/03/2025,"544.99","551.96","542.98","549.70","7,824,037"
01/31/2025,"558.62","560.89","552.71","553.33","6,243,322"
01/30/2025,"555.37","557.78","552.38","556.30","4,296,538"
01/29/2025,"555.17","555.50","550.97","553.41","4,174,471"
01/28/2025,"552.30","556.65","549.22","555.85","4,164,674"
01/27/2025,"546.93","551.39","546.83","551.23","7,617,385"
01/24/2025,"560.76","561.66","558.02","559.01","3,612,141"
01/23/2025,"557.04","560.70","556.80","560.70","6,217,878"
01/22/2025,"557.19","558.93","556.73","557.61","4,780,036"
01/21/2025,"552.32","554.46","550.50","554.46","5,301,678"
01/17/2025,"548.92","551.12","547.68","549.46","6,558,651"
01/16/2025,"546.35","546.51","543.39","544.24","3,632,752"
